I1	I3	W1	W2	W3	W4	W5	W6	W7	W8	W9	S1	S2	S4
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       1	       1	       1	       0	       1	       0	       0	       0
       0	       0	       0	       0	       0	       1	       0	       1	       0	       0	       0	       1	       0	       0
       0	       0	       0	       0	       0	       1	       1	       0	       1	       1	       1	       1	       0	       1
       0	       0	       0	       0	       0	       1	       0	       1	       0	       1	       1	       0	       0	       1
       0	       0	       0	       0	       0	       0	       0	       1	       1	       0	       1	       1	       0	       1
       0	       0	       0	       0	       0	       1	       0	       1	       1	       1	       0	       1	       0	       0
       0	       0	       0	       0	       0	       0	       1	       1	       0	       1	       1	       0	       0	       1
       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0	       0
       0	       0	       0	       0	       0	       0	       0	       1	       1	       1	       0	       1	       0	       0
